Title	Identifier	Platforms	Website	Development Studio	Studio Location	Publisher	Sponsor	Early Access Date	Release Date	Languages	Media Format	Genres	Awards	Store	Presskit	Articles	Twitter	Development Log	Source	Online Play	Download Page	Direct Download	Trailer Video Link	Logo Direct Link	Screenshot Direct Link	Box Art Direct Link	Description	Credits	Remarks	State (released, unreleased, canceled)	Data Quality
Meet the Street	meetthestreet	iOS	http://www.meet-the-street.ch/en/	Feinheit, Blindflug Studios	Zürich		Fussverkehr Schweiz		2013					https://itunes.apple.com/us/app/meet-the-street/id600520689?mt=8									https://www.youtube.com/watch?v=D9fv31xBs2I		http://www.meet-the-street.ch/uploads/medialibrary/2013/03/mts_0003_gamescreen-04.jpg		It’s all happening on the zebra crossing! Pedestrians and vehicles are on their way and its up to you to make them get there safe. Watch out for the kid playing ball and grandpa on the stick! Can you handle tractors, trams and police cars at the same time? Up to you to manage the chaos!			released	6220
Buffalooh	buffalooh	iOS	http://buffalooh.digidingo.com/	digiDingo					2013					https://itunes.apple.com/us/app/buffalooh/id699586630?mt=8									https://www.youtube.com/watch?v=m282AtsntP4		http://is1.mzstatic.com/image/thumb/Purple3/v4/26/61/9c/26619cc9-0487-84be-ab03-55ce30f2d5f4/source/392x696bb.jpg		Welcome to the world of crazy Buffaloohs in this brand spankin’ new puzzle game that will blow your mind away… plus a few Bufaloohs. From the creators of the massively popular “Grooh”, you’re challenged to smash Buffaloohs from behind, the side, or the head – anything to propel them away from the stage. But don’t fret, no Buffaloohs are harmed in the process of this game. 			released	6210
Daryl	daryl	iOS, Windows Phone	http://www.kariosgames.com/daryl/	Karios Games					2013					https://itunes.apple.com/us/app/daryl/id780167548?mt=8									https://www.youtube.com/watch?v=0JPkWb0fhLU		http://www.kariosgames.com/wp-content/uploads/2013/12/Screen-Shot-2015-10-06-at-17.03.46-1030x579.png		Daryl is an awesome and fun archery game! Pick up your iPhone, iPod or iPad and immerse yourself in a bow-and-arrow competition! Pick up your bow and shoot some arrows. Can you hit bullseye from 15m? How about a moving target? Or through obstacles? Prove you are the best archer there is! Hit the target on a beach or on the top of a mountain and show the world your bow skills!			released	6210
Electrogame	electrogame	iOS	http://www.reduktion.ch/project/electrogame/	Christian Schnellmann					2013					https://itunes.apple.com/us/app/electrogame/id656739906?l=fr&ls=1&mt=8									https://player.vimeo.com/video/69411537		http://www.reduktion.ch/wp-content/uploads/2016/09/screen_960.png		Electrogame (1977) was originally created for the SC-800 pocket calculator. My enhanced port of the game is now available for iPhone, iPad and iPod touch.			released	6210
New Road	newroad	iOS	http://www.reduktion.ch/project/new-road/	Christian Schnellmann					2013					https://itunes.apple.com/ch/app/new-road/id621179269?mt=8									https://vimeo.com/64483499		http://www.reduktion.ch/wp-content/uploads/2016/09/New_Road_iPhone5_01.jpg		It is like drawing. Except that what you draw, turns into a road. In “New Road” creating a 3D racing track is as simple as drawing some curves on your screen. But as soon as your engine starts, the actual challenge begins: try to reach the end of your track without crashing into anything. Not easy, as digital glitches are littered all over the road.			released	6210
Runic Sorcerer	runicsorcerer	iPad	http://www.plexusgames.com/runicsorcerer/index.php	Plexus Games					2013					https://itunes.apple.com/app/runic-sorcerer/id638922336									https://www.youtube.com/watch?v=0sj40oPNB0o		http://www.plexusgames.com/runicsorcerer/galleryimages/26.jpg		Sorcerers! The time has come to show your expertise in the magic of the Arcanes! Cast your powerful spells, create runestones, invoke dozens of creatures in this amazing strategic game in 3D real time where you will fight powerful evil forces of the Legion of the Dead Hand.  			released	6210
MonsterUp Adventures	monsterupadventures	iOS, Windows Phone	http://www.kariosgames.com/monsterup-adventures/	Karios Games	Carouge				2013				1st prize in Microsoft-Nokia app competition in CoLab Workspace, Athens, Greece in April 2012, before its release,Top 3 finalist in Swisscom App of the Year Competition in Switzerland, November 2012,ROYAL app in AdDuplex HERO APPS benefit program, August 2015                     										https://www.youtube.com/watch?v=efxL9yUyat8		http://www.kariosgames.com/wp-content/uploads/2012/04/screen4_1.2.png		The long awaited sequel is finally here! After a short vacation in  Murloland, the adorable Monsters return to TrelloLand only to discover  that the evil Skotos has kidnapped the Trella! It’s time for action!  Make your way through the land, have fun, collect the gems and defeat  the evil Skotos and his minions before they take over TrelloLand! The  monsters are back…and so is the fun!			released	6130
MonsterUp Flap	monsterupflap	Android, Windows Phone	http://www.kariosgames.com/monsterup-flap/	Karios Games	Carouge				2013														https://www.youtube.com/watch?v=9Qc5Nxe-1rI		http://www.kariosgames.com/wp-content/uploads/2014/03/wp_ss_20140307_0002-1030x618.png		Flap flap away! Rhin-O is testing his new flapping wings! Wanna help him go through the obstacle course? Awesome silky smooth 3D graphics and fun physics make for a great MonsterUp little game!			released	6120
Space Kitty Race	spacekittyrace	PC, Mac, Web	http://ludumdare.com/compo/ludum-dare-28/comment-page-2/?action%3Dpreview%26uid%3D7317	Tobias Baumann					2013	English												http://www.2ndsky.ch/LD28, http://www.2ndsky.ch/LD28/Space_Kitty_Race-v1_win.rar, http://www.2ndsky.ch/LD28/Space_Kitty_Race-v1_mac.zip			http://ludumdare.com/compo/wp-content/compo2//308734/7317-shot2.jpg-eq-900-500.jpg		Instructions: Build a path for the Space Kitty so it'll find all the stars on the map. That's it.  Suitable for ages 5 and up.   Some more info:   The idea was to have a system the player can set up and then have it run without any interaction from the player. In terms with the theme "You only get one", the kitty has to find all the stars in one run. However the player is free to interact when the kitty isn't running. (Great huh?)   Even more info (OMG):  * There are four "tools" available: GoLeft, GoRight, Jump, Speed  * There are no limits as to how many "tools" you can place  * Running into a wall or off the level kills the kitty :(  * Protip: on the later levels there are more then one stars  * Protip: you can do tool chains for great effect			released	6120
Athleticooh	athleticooh	iOS, Android	http://athleticooh.digidingo.com/	digiDingo					2013					https://itunes.apple.com/us/app/athleticooh/id527832617?mt=8, https://play.google.com/store/apps/details?id=com.digidingo.athleticooh										https://lh4.ggpht.com/1vA_V3HOYq6KEJ39wuC47jwqqjlNktGl_qobxuUqDFiTzXT6HB88sJPqlzaEXTMKUQ=w300-rw	http://www.zarkonnen.com/static/bumble/media/uploads/athleticooh.png		Join Athleticooh and earn medals in this casual Track'n Field game! Beat highscores and share your achievements with your Facebook friends. Experience different gameplays and disciplines. Compete during day, evening or night session. Enjoy the sound of the crowd when you cross the finishing line.			released	5220
... :D	d	Flash	https://www.kongregate.com/games/Lorgh/d	ZappedCow	Nyon				2013	English		Action/Puzzle								https://www.kongregate.com/games/Lorgh/d							Use your hand(s) and brain(s) to beat all 24 levels. Good luck and have fun! This is a re-mastered version (new graphics, new levels) of my entry for Ludum Dare #26.			released	5131
MonsterUp Colors	monsterupcolors	Windows Phone	http://www.kariosgames.com/monsterup-colors/	Karios Games	Carouge				2013																http://www.kariosgames.com/wp-content/uploads/2013/04/5.png		The cute monsters from MonsterUp love to play games! And they love  colors! Play with them, match the color cubes as fast and accurate as  you can and win points!			released	5120
Fromage et Tromblon	fromageettromblon	Browser	http://digitalkingdom.ch/portfolio/fromage_et_tromblon/	DIGITAL KINGDOM					2013														https://www.youtube.com/watch?v=pmEBGW7dKo0				Aide le Colonel Schnapziger en participant à l'opération "fromage-et-tromblon", ultime tentative pour sauver le fromage Suisse.			released	5110
Splink	splink	Samsung Store	https://web.archive.org/web/20140908105501/http://416games.ch/?portfolio=splinx	416Games (Gian Jenal)					2013																https://web.archive.org/web/20140908105501im_/http://416games.ch/wp-content/uploads/2013/06/Screen_2.png		Splink is a puzzle game for Samsung devices. Help the hungry spider to catch as many of the insects as possible. With your finger or the S-Pen, you can aim for the tree trunks and let the spider jump between them. Each jump will leave a sticky web behind, which entangles enemies and lets you jump on it again. Use your head and your dexterity as you build up your own cobweb and see the tasty bugs getting devoured.		https://www.facebook.com/SplinkGame , https://web.archive.org/web/20140908105501/http://416games.ch/?portfolio=splinx	released	5110
ZoOp!	zoop	iPad	http://www.zappedcow.com/zoop/	Zapped Cow					2013					https://itunes.apple.com/us/app/zoop!/id721359972									https://www.youtube.com/watch?v=pAXshAdxVW4							released	4210
Digibug	digibug	Samsung Store		416Games					2013														https://www.youtube.com/watch?v=h_VRmEEPrIs		https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/182974_465007336914510_92567280_n.png?oh=0a35a4e93661f86785fab4ab26b84b43&oe=5A50C768					released	4110
Draw Me the Way!	drawmetheway	Samsung Store		416Games					2013																https://igfv3.s3.amazonaws.com/vkmQYRwXTY28Vb1lSLaJ_dmtw_vii_hd_1000.jpg		Draw me the way is a puzzle game for Samsung S-Pen devices. It tells the story of how a noble knight called Sir Hainrich met a powerful wizard and how they embarked on a great journey searching for gold and glory.  The player leads Sir Hainrich through dungeons by drawing arrows on the floor and thus drawing him the way.			released	4110
Joe’s Heart	joesheart	Web	http://www.the2ndsky.ch/joes_heart/	Team Joe’s Heart					2013																		A One-Button-Adventure-Extrordinary made during the Global Game Jam 2013. 			released	4110
Turnfree	turnfree	iOS	http://www.digidingo.com/	digiDingo					2013					https://itunes.apple.com/us/app/turn-free/id597391063?mt=8																released	3210
Cheese Luise	cheeseluise	iOS	http://cheeseluise.com/	pixxadoo					2013																					released	3110
Drownings	drownings	Samsung Store		416Games					2013														https://www.youtube.com/watch?v=sIPkYoEdVlo							released	3110
gyroboost	gyroboost	iOS	https://itunes.apple.com/us/app/gyroboost/id711550731?mt%3D8	Mauro Zocco					2013																					released	3110
Stardust	stardust	Samsung Store		416Games					2013																				http://416games.ch/?portfolio%3Dstardust	released	3110
Enemy 2: Missing in Action	enemy2missinginaction	Amiga	https://www.auralis.ch/cms-anachronia-en/20.php	Anacronia					2013	English, German		Action				https://www.lemonamiga.com/interviews/andre_wuthrich/					https://www.auralis.ch/cms-anachronia-en/7.php		https://www.youtube.com/watch?v=dcIy6pJzIaU		https://www.auralis.ch/cms-anachronia-en/userfiles/e2/screenshots/L28.png		The adventure in the vastness of cold space continues. After a failed research mission the crew got stuck in alien spaceships. In the fight for survival they meet old friends and new enemies. It is an emotional roller coaster between despair and hope. The big question is: Will any human ever return to earth?	STORYBOARD, GRAPHIC AND LEVEL DESIGN: André Wüthrich, David Röskamm / TECH SUPPORT: Andreas Krüger		Released	8132
GOLF N'NY	golfnny	iOS, Android		Michel Betschart et al					2013			Sport				https://apkpure.com/golf-n%E2%80%99ny/com.ynapmoc.golfny									https://image.winudf.com/v2/image/Y29tLnluYXBtb2MuZ29sZm55X3NjcmVlbl8wX2NyNGJkcDc2/screen-0.jpg?h=800&fakeurl=1&type=.jpg		GOLF N’NY is a 3D Golf Game happening in New York City. Be part of the action at the dizzy hights of Manhattans skyscrapers. The courses lead over several rooftops.			Released	4112
Asylamba - Expansion Stellaire	asylamba	Browser	http://asylamba.com/	RTFM Corp.	Fribourg/Valais				2014	French		MMO, Real-time Strategy			http://asylamba.com/espace-presse		https://twitter.com/asylamba	https://github.com/rtfmcorp/asylamba-game/blob/master/CHANGELOG.md	https://github.com/rtfmcorp/asylamba-game	http://asylamba.com/			https://www.youtube.com/watch?v=w8DymfBlulI	http://asylamba.com/public/media/press/asylamba-logo1-noir.png	http://asylamba.com/public/media/printscreen/tech.jpg		Asylamba est un jeu par navigateur de stratégie persistant et en temps réel. Créé par une équipe de 5 bénévoles, le jeu s’adresse à un public large et met l’accent sur une bonne intégration d’un background riche et innovant, une expérience de jeu immersive tout en laissant la place tant aux casual gamers qu’aux initiés. Le jeu est open-source depuis fin 2016.			released	8153
Perils of Man	perilsofman	iOS, Windows, Mac, Linux	http://www.perilsofman.com/	IF Games					2014				Swiss Game Award 2014, Best Game Design at Indie Game Cup White Nights Conference 2015	https://itunes.apple.com/us/app/perils-of-man-adventure-game/id919457017?mt=8, http://store.steampowered.com/app/347710	http://if-games.com/press/		https://twitter.com/perilsofman						https://player.vimeo.com/video/125917794		http://www.perilsofman.com/wp-content/uploads/2015/04/pom_01.jpg		When Ana receives an unexpected gift from her missing father, she is catapulted headlong into a mystery that will take her on a journey through time. At last she must decide if a perfectly predictable world is a curse on humanity or a triumph for mankind.			released	6231
Shoggoth Rising	shoggothrising	iOS, Android, Windows 8, Windows Phone	http://www.shoggothrising.com/en/	Dreipol	Zürich				2014	English				https://itunes.apple.com/app/shoggoth-rising/id729429892			https://twitter.com/shoggothrising						https://www.youtube.com/watch?v=8sCrmBmBwNo		https://is5-ssl.mzstatic.com/image/thumb/Purple128/v4/39/77/b6/3977b66a-6b04-52d1-b4f5-c46fef7c2e17/mzl.bzuqkqgb.png/600x0w.jpg		Shoggoth Rising is a cooperative project between dreipol Llc, a Swiss design company specialised in web and mobile experiences, and Lukas Huber, a Swiss animator and designer based in Hamburg.  The passionate team made it their challenge to create an entirely new gaming experience. Mind-blowing visuals and a non-stop action-packed gameplay is available on iOS, Android and Windows Phone. You better get ready!			released	6231
First Strike	firststrike	iOS, Android, PC	http://www.firststrike.mobi/	Blindflug Studios					2014				Indie Prize Best Mobile Game, Best of Swiss Apps 2014, Best App Ever Awards Most Innovative Game	http://bit.ly/fsiosgame, http://bit.ly/fsandroidgame	http://www.firststrike.mobi/wp-content/themes/Archive/presskit/FS_Presskit.zip?ref=downloadpresskit								https://www.youtube.com/watch?v=u7Bzk4qzKCE		http://www.firststrike.mobi/wp-content/themes/Archive/images/screen3.png		Escalation is a downward spiral.  A nuclear armageddon is no one’s dream scenario. So choose your steps carefully, it’s a small path between war and peace. FIRST STRIKE is a real-time strategy game featuring snappy gameplay and an intuitive interface that makes dropping the big one as easy as ABC. But be sure to take the right measures to guarantee your people’s safety.  Pick one of the big nuclear players – from known Superpowers to an upstart hellraiser like North Korea – and plan your strategy wisely: Limited but clever options let you as the leader of your superpower steer your nation’s fate: Expand to other countries, build bombs or debuild in order to restructure your arsenal. Or use research to widen your options, such as: Ability to act quicker and build bigger bombs, better recon on your enemies actions, automated self-defense-sequences and many more.  First Strike is a twenty minute, fast paced realtime strategy game. You control one of eleven nuclear superpowers on earth and have to strategically conquer, research and attack global nations while defending yourself from missile attacks. Your goal is to be the last Alliance remaining once nuclear war breaks out and the whole world is in flames.			released	6230
Seasons of Life	seasonsoflife	iOS, Android	http://www.feinheit.ch/portfolio/projekte/seasons-life/	Feinheit, Blindflug Studios	Zürich		AXA Winterthur		2014					https://itunes.apple.com/ch/app/seasons-of-life/id867448152?mt=8, https://play.google.com/store/apps/details?id=com.axa.seasons.ch									https://www.youtube.com/watch?v=VEWqZq8fbs4	http://is3.mzstatic.com/image/thumb/Purple2/v4/2c/7c/86/2c7c869c-7a77-3654-d35b-771befe19da0/source/175x175bb.jpg	http://www.feinheit.ch/media/_thumbs/medialibrary/2014/07/Pinwand4_cropscale_706x419.png		Balance and skill – how quickly can you take your characters to safe territory?   Every phase in life brings with it new challenges. In "Seasons of Life" as well, the degree of difficulty increases from one level to the next. Keep your balance, remove the right game pieces, and take all the characters to safe territory! What may seem easy at first will soon require you to think long and hard in the next phases. Can you master all 60 levels?   Features: • Quick game of skill  • 60 exciting levels • Overcome new challenges repeatedly during the four phases of life • Challenge your friends			released	6230
Pixel Mogul	pixelmogul	iPhone, iPad	http://pixelmogul.ala.ch/	ala					2014				FWA Mobile of the Day	https://itunes.apple.com/app/id711358248		http://www.pocketgamer.co.uk/r/iPad/PixelMogul/news.asp?c=59245, http://www.apppicker.com/reviews/15157/PixelMogul-app-review-become-the-ultimate-landlord							https://www.youtube.com/watch?v=S9x60JAq1h8		http://pixelmogul.ala.ch/img/header/ipad_en_3.jpg		PixelMogul is a game for iPhone, iPad and iPod Touch. As the PixelMogul you will start small with a single, simple building but, you know, one day you could own the whole town. It all depends on your talent and fortune as a landlord.			released	6221
Macrocosm	macrocosm	iOS	http://www.klaaskaat.ch/html/projects/projectCosm.html	Klaas Kaat					2014				German Design Award Special Mention	https://itunes.apple.com/de/app/macrocosm/id892783580?mt=8									https://vimeo.com/100985323		http://www.klaaskaat.ch/content/cosm/cosm1.jpg		The player controls a black distorted dot - Black Matter - in a top-down view. While picking up other black dots the character gains size and health. The challenges include moving around planets with a gravitational pull and avoiding forces of evil that try to damage you. Along the game, the player is shown that these forces of evil capture the black dots and want to keep them for themselves. The player is sent out to free all the black dots from these forces of evil.		http://www.klaaskaat.ch/content/cosm/cosm3.jpg	released	6220
Memoreille	memoreille	PC, Mac, iOS	http://www.memoreille.ch	Gaudenz Badrutt, BUMMZACK					2014					https://bummzack.itch.io/memoreille									https://www.youtube.com/watch?v=e-lZto5hnCY		http://a5.mzstatic.com/nz/r30/Purple/v4/f2/2c/72/f22c728a-5e81-34c0-4f02-876f21c33759/screen568x568.jpeg		Memoreille is a game of patience and concentration for two to twelve  quick ears, aged 6 years and up. Ten Swiss musicians have created thirty  levels split in five different levels of difficulty. Discover 316  pieces of sound ranging from new music, to experimental music and  improvisation – a playful world of sounds that challenges the memory and  surprises our hearing.  	The following musicians have contributed to Memoreille: BigZis, Christian Müller, Gaudenz Badrutt, Hans Koch, Jacques Demierre, Jonas Kocher, Jürg Kienberger, Maru Rieben, Ruedi Häusermann, Christoph Hess Concept and artistic direction: Gaudenz Badrutt  Graphics and design: Gaudenz Badrutt and Roman Schmid  Development of game: Roman Schmid / BUMMZACK		released	6220
MonsterUp Candy Run	monsterupcandyrun	Windows Phone	http://app.kariosgames.com/mucandyrun	Karios Games	Carouge				2014					https://www.microsoft.com/en-us/store/p/monsterup-candy-run/9wzdncrdskhf									https://www.youtube.com/watch?v=dGIIly_EmsU		http://www.kariosgames.com/wp-content/uploads/2014/05/MUCR_Screenshot-31-618x1030.png		MonsterUp Candy Run takes the beloved Monsters high above Trelloland and through fun and awesome training courses! Avoid the obstacles, gather gems and powerups, jump and fly but whatever you do, don’t fall!			released	6220
Nandeyanen!? - The 1st Sûtra	nandeyanen	PC, Xbox LIVE Indie Games	http://tchagata.com/games/nandeyanen/	Tchagata Games	Lausanne				2014					http://marketplace.xbox.com/en-US/Product/Nandeyanen-The-1st-S%C3%BBtra/66acd000-77fe-1000-9115-d80258550e7e, http://www.desura.com/games/nandeyanen-the-1st-stra, http://tchagata.itch.io/nandeyanen, http://store.steampowered.com/app/386090/									https://www.youtube.com/watch?v=y4rnCKDk7MY		http://tchagata.com/wp-content/uploads/2014/04/2.jpg		Welcome to our special brand of Super Long Nose Shooting Game. Join Tengu-man in an all-out Yôkai war where no bullets are pulled back. Master complex game mechanics in this first chapter of a supernatural adventure. Counter bullets and blast shields to find your foxy lady.			released	6220
Season's Street	seasonsstreet	iOS	https://www.witchlake.ch/seasons-street	Witchlake	Peseux NE				2014					https://itunes.apple.com/us/app/seasons-street/id634888672?l=fr&ls=1&mt=8									https://www.youtube.com/watch?v=zc4JSBaopfk		https://static.wixstatic.com/media/79e134_29ec203886e04511a7bb986328fd052c.jpg		About   Season’s Street, a fun and challenging game where you will have to manage the traffic of a lovely little town! Have reflexes! Be quick! And think carefully to avoid accidents!   Instant fun. How far will you go?   Season's Street is a basic traffic management game. Play simply and have fun!   The farthest you go, the more challenging the game will become! Share your score on Game Center and show your friends how skilled you are!   Manage the traffic lights, clean the road, repair the cars and win as many points as possible!			released	6220
The Firm	thefirm	iOS, Android	https://www.sunnysidegames.com/pages/games	Sunnyside Games	Lausanne				2014					https://play.google.com/store/apps/details?id=ch.sunnysidegames.thefirm&hl=en,https://itunes.apple.com/ch/app/the-firm/id883108531?l=en&mt=8									https://www.youtube.com/watch?v=g8CpWbBC6Zg		https://cdn.shopify.com/s/files/1/1771/0101/files/Thefirm-1160x653.png?v=1487683052		THE FIRM is a twitchy fast-paced ARCADE video game in which you  play as a trader working for a big corporation. React fast, stay  focused, and you might become the new chairman of The Firm! But be  careful, because too many mistakes will get you immediately FIRED or  worst…  			released	6220
Quiz and Fly	quizandfly	iOS, Android	https://gbanga.com/gameography/quiz-and-fly/	Gbanga			UBS		2014			Serious Game		https://itunes.apple.com/app/quiz-and-fly/id910098891, https://play.google.com/store/apps/details?id=com.ubs.knowledgeJourney									https://www.youtube.com/watch?v=nYhm3zqUmVk		https://gbanga.com/wp-content/uploads/2014/10/4_iPhone6_English.png		Quiz and Fly is a free serious game in the field of edutainment and financial literacy, suitable for a broad audience, young to old, French, Italian, German and English speaking. Players travel the globe to unlock new quizzes. The questions and answers are designed in the style of infographics. The app is provided for free by UBS Switzerland.			released	6211
Battle of SeaSons	battleofseasons	Windows Phone	https://play.google.com/store/apps/details?id=com.tidalwave.botss&hl=en	Tidal Wave Games					2014					https://play.google.com/store/apps/details?id=com.tidalwave.botss&hl=en									https://www.youtube.com/watch?v=at6ctnEu5wI		http://www.zarkonnen.com/static/bumble/media/uploads/battle-of-seasons.jpg		Defend your castle and help your ships cross the sea!			released	6210
LiquidSketch	liquidsketch	iPad	http://liquidsketch.com/	Tobias Neukom					2014					https://itunes.apple.com/us/app/liquidsketch/id544717096?l=de&ls=1&mt=8									https://www.youtube.com/watch?v=dpNjEEtodtg		http://is2.mzstatic.com/image/thumb/Purple4/v4/4a/87/bf/4a87bf4c-5e33-ee82-1a73-cbcd8f2a7195/source/480x360bb.jpg		Solve puzzles using beautifully colored, unbelievably realistic liquid! Rotate your device to pour, use your fingers to splash around or build bridges and pipes with blocks. Engage in 90 challenges testing your logic over 6 stages covering different aspects of liquid mechanics or let your imagination run wild in the sandbox mode.			released	6210
Rockstar Rampage	rockstarrampage	iOS	http://www.gamesoftheuniverse.com/	Games of the Universe					2014					https://itunes.apple.com/us/app/rockstar-rampage/id670733636?mt=8&ign-mpt=uo%3D4									https://www.youtube.com/watch?v=-9mKQ9enpK4		http://is5.mzstatic.com/image/thumb/Purple7/v4/03/a3/7c/03a37c13-ce9f-8d67-7529-497422e9773c/source/392x696bb.jpg		«Rockstar Rampage» is about a rockstar on world tour wrecking hotel rooms. Some rooms are shabby, some are classy - wreck them all! Do it with style and in rockstar-fashion and make it look good for the lurking paparazzi. Be on the front page of the daily newspaper - to become truly famous!			released	6210
Within	within	Windows, Mac OS, Linux	http://ragekit.itch.io/within	Benjamin Gattet, HEAD Genève					2014											https://ragekit.itch.io/within					https://img.itch.zone/aW1hZ2UvOTUxMi8yNzY0Ni5wbmc=/original/ySNSG%2B.png		Within is an experimental videogame questioning the notion of space in a virtual world, where the player wanders in an ever changing place, chased by a mysterious figure			released	6210
Birdly	birdly	Oculus Rift	http://www.somniacs.co/	Institute for Design Research ZHdK					2014						http://www.somniacs.co/about.php								https://www.youtube.com/watch?v=gWLHIusLWOc		http://iad.zhdk.ch/site/assets/files/1224/vvk-ganv0cz7.2880x0.jpg		The whole Birdly experience is about one of the oldest dreams of mankind: flying like a bird. It`s a simple and strong story. People in every culture and of every age or social background have dreams of flying. It does not take many words to get involved: it‘s the experience that matters!  Birdly is an immersive, full body installation born out of a research project. It explores the experience of a bird in flight and was developed by the Zurich University of the Arts (ZhdK). Unlike a common flight simulator you do not control a machine - you intuitively embody a bird. To evoke this sensation, Birdly relies on sensory-motor coupling and truly 3D visuals provided by a state of the art head mounted display. Birdly combines extended forms of storytelling with strong visuals and technical perfection to create a unique and intuitive experience.			released	6120
Cube Clicker	cubeclicker	PC, Mac, Web, Linux	http://ludumdare.com/compo/ludum-dare-31/?action=preview&uid=7317	Tobias Baumann					2014													http://ludumdare.com/compo/ludum-dare-31/?action=preview&uid=7317			http://ludumdare.com/compo/wp-content/uploads/2014/12/gif4-smaller21.gif		How to play: Click the Cube. 			released	6110
Zivilcourage	zivilcourage	Installation	http://www.ludic.ch/projekt/zivilcourage	Ludic GmbH			Stadt Zürich Kultur		2014														https://player.vimeo.com/video/100217724/		http://zarkonnen.com/static/bumble/media/uploads/zivilc_screen.png		Zivilcourage meldet sich nicht an! Ich werde unerwartet und ungefragt konfrontiert mit einer rassistischen Äusserung, mit dem Verdacht auf häusliche Gewalt, mit einer Pöbelei, mit Sachbeschädigung, mit Mobbing, mit einer Notfallsituation oder mit einer Schlägerei. Und so unmittelbar, wie die Situation eintritt, so unmittelbar stellt sich auch die Frage: Wie soll ich reagieren?			released	6110
After Party	afterparty	iOS, Android	https://gbanga.com/gameography/after-party/	Gbanga					2014					https://itunes.apple.com/app/after-party/id627847488, https://play.google.com/store/apps/details?id=com.Gbanga.AfterParty											http://www.zarkonnen.com/static/bumble/media/uploads/afterparty.png	http://www.zarkonnen.com/static/bumble/media/uploads/afterparty-boxart.png	Still drunk after a wild party, you set off for home on foot. This turns out to be an adventure, not just due to your condition. With skill and cunning, you avoid all the obstacles, answer the questions and grab the bike – which can only be used when you’ve got your blood-alcohol level under control. Let’s hope you get home quickly and safe and sound.			released	5310
Gleich 10	gleich10	iOS	https://itunes.apple.com/ch/app/gleich-10-zahle-bis-zehn-oder/id892915453?mt%3D8	Marco Krapf					2014				Best of swiss apps award 2014 – YOUNG & WILD SILVER	https://itunes.apple.com/ch/app/gleich-10-zahle-bis-zehn-oder/id892915453?mt%3D8											http://is1.mzstatic.com/image/thumb/Purple69/v4/07/78/08/077808e1-2f6d-fcdc-70bf-67d441c3a306/source/320x568bb.jpg		Zähle Nummern zusammen bis du zehn erreichst. Wenn du eine Zahl nicht magst, schiess einfach eine Rakete und zerstöre sie! Ziemlich einfach, oder? 			released	5220
Lemmings Defense	lemmingsdefense	Android	https://play.google.com/store/apps/details?id=ch.zhaw.towerdefense.android	Projektarbeit ZHAW					2014			Tower Defense		https://play.google.com/store/apps/details?id=ch.zhaw.towerdefense.android											http://www.zarkonnen.com/static/bumble/media/uploads/lemmings-defense.png		The Lemmings have gone mad and try to dominate our world. You're the last hope for humanity: Try to place the different type of towers in the best positions to stop the Lemming invasion. Let no Lemming pass through the level to get all 3 stars.			released	5211
Beautiful Gravity	beautifulgravity	iOS	http://www.colorbloks.com/	Marco Krapf					2014					https://itunes.apple.com/us/app/beautiful-gravity/id861239476											http://is3.mzstatic.com/image/thumb/Purple71/v4/c4/1e/67/c41e6794-2ffd-e8a6-aba0-51fabe1556ce/source/392x696bb.jpg		beautiful gravity works with an awesome game mechanic, you've never seen before. play level by level, fight boss by boss on your way to No° 1 in world's ranking.  			released	5210
Cave Zen	cavezen	iOS	http://www.colorbloks.com/	Marco Krapf					2014					https://itunes.apple.com/us/app/cave-zen/id1071727504											http://www.colorbloks.com/tl_files/colorbloks/downloads/gif/cave-zen-7.gif		Please help me to finish this cave! 			released	5210
Filou Malbuch	filou	iOS, Web, Android	http://www.bitforge.ch/portfolio/filou-malbuch/	bitforge			Zürcher Kantonalbank		2014					https://itunes.apple.com/ch/app/filou/id794452518?l=en&mt=8, https://play.google.com/store/apps/details?id=ch.zkb.filou											https://www.bitforge.ch/home/wp-content/uploads/2014/01/zkb_filou_malbuch_2_zeichnen.jpg		Filou ist das Maskottchen der Zürcher Kantonalbank und bringt ‚die nahe Bank‘ auch den kleinsten Zürcherinnen und Zürchern näher. Jetzt können Ihre Kinder Filou auch auf dem iPhone und iPad erleben. Die App ist auf die Bedürfnisse von Kindern bis 5 Jahren ausgerichtet. 			released	5210
Folt	folt	iOS	http://www.nonverbal.ch/folt/	Nonverbal					2014					https://itunes.apple.com/app/id823039529											http://is4.mzstatic.com/image/thumb/Purple/v4/12/31/6f/12316f56-5ce9-e182-ef75-a1aae7df769a/source/320x568bb.jpg		Flip tiles and match colors to move your way through more than 125 challenging levels in this beautiful, minimalist puzzle game. 			released	5210
